Neighborhood,Index
St. Albans,
2/1/17,2
3/1/17,1
4/1/17,0
5/1/17,0
6/1/17,5
Williamsburg,
8/1/16,2208
9/1/16,2573
10/1/16,2591
11/1/16,2746
12/1/16,2490
1/1/17,3126
2/1/17,2827
3/1/17,3435
4/1/17,3918
5/1/17,4135
6/1/17,3460
Willowbrook,
8/1/16,1049
9/1/16,1176
10/1/16,966
11/1/16,784
12/1/16,759
1/1/17,1223
2/1/17,1372
3/1/17,1197
4/1/17,1635
5/1/17,1785
6/1/17,3121
Windsor Terrace,
8/1/16,169
9/1/16,197
10/1/16,212
11/1/16,139
12/1/16,204
1/1/17,133
2/1/17,106
3/1/17,104
4/1/17,196
5/1/17,253
6/1/17,226
Woodhaven,
8/1/16,682
9/1/16,1143
10/1/16,1002
11/1/16,828
12/1/16,803
1/1/17,1334
2/1/17,1444
3/1/17,1424
4/1/17,918
5/1/17,834
6/1/17,1459
Woodlawn,
8/1/16,333
9/1/16,337
10/1/16,415
11/1/16,451
12/1/16,322
1/1/17,405
2/1/17,332
3/1/17,458
4/1/17,553
5/1/17,514
6/1/17,782
Woodrow,
8/1/16,5
9/1/16,23
10/1/16,22
11/1/16,12
12/1/16,17
1/1/17,60
2/1/17,58
3/1/17,100
4/1/17,70
5/1/17,119
6/1/17,102
Woodside,
8/1/16,855
9/1/16,1341
10/1/16,1439
11/1/16,1352
12/1/16,1686
1/1/17,2379
2/1/17,2572
3/1/17,2889
4/1/17,2617
5/1/17,2771
6/1/17,3071
,
